team,confederation
Abkhazia,UEFA
Afghanistan,AFC
Albania,UEFA
Alderney,UEFA
Algeria,CAF
Ambazonia,CAF
American Samoa,OFC
Andalusia,UEFA
Andorra,UEFA
Angola,CAF
Anguilla,CONCACAF
Antigua and Barbuda,CONCACAF
Arameans Suryoye,UEFA
Argentina,CONMEBOL
Armenia,UEFA
Artsakh,UEFA
Aruba,CONCACAF
Asturias,UEFA
Australia,AFC
Austria,UEFA
Aymara,CONMEBOL
Azerbaijan,UEFA
Bahamas,CONCACAF
Bahrain,AFC
Bangladesh,AFC
Barawa,CAF
Barbados,CONCACAF
Basque Country,UEFA
Belarus,UEFA
Belgium,UEFA
Belize,CONCACAF
Benin,CAF
Bermuda,CONCACAF
Bhutan,AFC
Biafra,CAF
Bolivia,CONMEBOL
Bonaire,CONCACAF
Bosnia and Herzegovina,UEFA
Botswana,CAF
Brazil,CONMEBOL
British Virgin Islands,CONCACAF
Brittany,UEFA
Brunei,AFC
Bulgaria,UEFA
Burkina Faso,CAF
Burundi,CAF
Cambodia,AFC
Cameroon,CAF
Canada,CONCACAF
Canary Islands,UEFA
Cape Verde,CAF
Cascadia,CONCACAF
Catalonia,UEFA
Cayman Islands,CONCACAF
Central African Republic,CAF
Central Spain,UEFA
Chad,CAF
Chagos Islands,AFC
Chameria,UEFA
Chechnya,UEFA
Chile,CONMEBOL
China,AFC
Cilento,UEFA
Colombia,CONMEBOL
Comoros,CAF
Congo,CAF
Cook Islands,OFC
Corsica,UEFA
Costa Rica,CONCACAF
County of Nice,UEFA
Crimea,UEFA
Croatia,UEFA
Cuba,CONCACAF
Curaçao,CONCACAF
Cyprus,UEFA
Czech Republic,UEFA
Czechoslovakia,UEFA
DR Congo,CAF
Darfur,CAF
Denmark,UEFA
Djibouti,CAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
Donetsk PR,UEFA
Délvidék,UEFA
East Turkestan,AFC
Ecuador,CONMEBOL
Egypt,CAF
El Salvador,CONCACAF
Elba Island,UEFA
Ellan Vannin,UEFA
England,UEFA
Equatorial Guinea,CAF
Eritrea,CAF
Estonia,UEFA
Eswatini,CAF
Ethiopia,CAF
Falkland Islands,CONMEBOL
Faroe Islands,UEFA
Felvidék,UEFA
Fiji,OFC
Finland,UEFA
France,UEFA
Franconia,UEFA
French Guiana,CONCACAF
Frøya,UEFA
Gabon,CAF
Galicia,UEFA
Gambia,CAF
Georgia,UEFA
German DR,UEFA
Germany,UEFA
Ghana,CAF
Gibraltar,UEFA
Gotland,UEFA
Gozo,UEFA
Greece,UEFA
Greenland,CONCACAF
Grenada,CONCACAF
Guadeloupe,CONCACAF
Guam,AFC
Guatemala,CONCACAF
Guernsey,UEFA
Guinea,CAF
Guinea-Bissau,CAF
Guyana,CONCACAF
Găgăuzia,UEFA
Haiti,CONCACAF
Hitra,UEFA
Hmong,AFC
Honduras,CONCACAF
Hong Kong,AFC
Hungary,UEFA
Iceland,UEFA
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Iraqi Kurdistan,AFC
Isle of Man,UEFA
Isle of Wight,UEFA
Israel,UEFA
Italy,UEFA
Ivory Coast,CAF
Jamaica,CONCACAF
Japan,AFC
Jersey,UEFA
Jordan,AFC
Kabylia,CAF
Kazakhstan,UEFA
Kenya,CAF
Kernow,UEFA
Kiribati,OFC
Kosovo,UEFA
